Entity,Code,Year,Grapes | 00000560 || Production | 005510 || tonnes
Afghanistan,AFG,1961,225000
Afghanistan,AFG,1962,225000
Afghanistan,AFG,1963,225000
Afghanistan,AFG,1964,265000
Afghanistan,AFG,1965,287000
Afghanistan,AFG,1966,315000
Afghanistan,AFG,1967,372000
Afghanistan,AFG,1968,375000
Afghanistan,AFG,1969,379000
Afghanistan,AFG,1970,364000
Afghanistan,AFG,1971,293000
Afghanistan,AFG,1972,360000
Afghanistan,AFG,1973,385000
Afghanistan,AFG,1974,407000
Afghanistan,AFG,1975,420000
Afghanistan,AFG,1976,471000
Afghanistan,AFG,1977,430000
Afghanistan,AFG,1978,440000
Afghanistan,AFG,1979,442000
Afghanistan,AFG,1980,459000
Afghanistan,AFG,1981,455000
Afghanistan,AFG,1982,444000
Afghanistan,AFG,1983,434000
Afghanistan,AFG,1984,418000
Afghanistan,AFG,1985,408000
Afghanistan,AFG,1986,365000
Afghanistan,AFG,1987,360000
Afghanistan,AFG,1988,365000
Afghanistan,AFG,1989,365000
Afghanistan,AFG,1990,365000
Afghanistan,AFG,1991,365000
Afghanistan,AFG,1992,330000
Afghanistan,AFG,1993,330000
Afghanistan,AFG,1994,330000
Afghanistan,AFG,1995,330000
Afghanistan,AFG,1996,330000
Afghanistan,AFG,1997,330000
Afghanistan,AFG,1998,330000
Afghanistan,AFG,1999,330000
Afghanistan,AFG,2000,330000
Afghanistan,AFG,2001,365000
Afghanistan,AFG,2002,365000
Afghanistan,AFG,2003,365000
Afghanistan,AFG,2004,349100
Afghanistan,AFG,2005,345700
Afghanistan,AFG,2006,350000
Afghanistan,AFG,2007,360000
Afghanistan,AFG,2008,364000
Afghanistan,AFG,2009,378000
Afghanistan,AFG,2010,397000
Afghanistan,AFG,2011,492464
Afghanistan,AFG,2012,590065
Afghanistan,AFG,2013,610570
Afghanistan,AFG,2014,744847
Afghanistan,AFG,2015,805072
Afghanistan,AFG,2016,874541
Afghanistan,AFG,2017,923831
Afghanistan,AFG,2018,984081
Afghanistan,AFG,2019,1112927
Afghanistan,AFG,2020,993382
Afghanistan,AFG,2021,993884
Afghanistan,AFG,2022,909792
Afghanistan,AFG,2023,1086000
Africa,,1961,3080703
Africa,,1962,2920386
Africa,,1963,3106159
Africa,,1964,2791905
Africa,,1965,3553359
Africa,,1966,2354374
Africa,,1967,2205360
Africa,,1968,2893285
Africa,,1969,2572769
Africa,,1970,2371817
Africa,,1971,2703585
Africa,,1972,2189858
Africa,,1973,2268237
Africa,,1974,2298807
Africa,,1975,2143856
Africa,,1976,2137821
Africa,,1977,1744575
Africa,,1978,1815237
Africa,,1979,2001169
Africa,,1980,2176023
Africa,,1981,2139372
Africa,,1982,2032519
Africa,,1983,2249717
Africa,,1984,2380536
Africa,,1985,2436783
Africa,,1986,2430181
Africa,,1987,2394234
Africa,,1988,2480180
Africa,,1989,2556721
Africa,,1990,2542067
Africa,,1991,2562977
Africa,,1992,2751583
Africa,,1993,2588361.5
Africa,,1994,2581183
Africa,,1995,2596825.8
Africa,,1996,2902122.2
Africa,,1997,2943472.2
Africa,,1998,2878183.5
Africa,,1999,3282748
Africa,,2000,3213683.2
Africa,,2001,3048195.5
Africa,,2002,3292715.2
Africa,,2003,3660615.2
Africa,,2004,3838935
Africa,,2005,3942596
Africa,,2006,4163112.8
Africa,,2007,4040908.8
Africa,,2008,4289937.5
Africa,,2009,4163947.8
Africa,,2010,4222251
Africa,,2011,4016820
Africa,,2012,4334848.5
Africa,,2013,4544380.5
Africa,,2014,4645079.5
Africa,,2015,4919260
Africa,,2016,4816725
Africa,,2017,4953595.5
Africa,,2018,4743349.5
Africa,,2019,4734618
Africa,,2020,4394204
Africa,,2021,4770328
Africa,,2022,5067552
Africa,,2023,5096207
Africa (FAO),,1961,3080703
Africa (FAO),,1962,2920386
Africa (FAO),,1963,3106159
Africa (FAO),,1964,2791905
Africa (FAO),,1965,3553359
Africa (FAO),,1966,2354374
Africa (FAO),,1967,2205360
Africa (FAO),,1968,2893285
Africa (FAO),,1969,2572769
Africa (FAO),,1970,2371817
Africa (FAO),,1971,2703585
Africa (FAO),,1972,2189858
Africa (FAO),,1973,2268237
Africa (FAO),,1974,2298807
Africa (FAO),,1975,2143856
Africa (FAO),,1976,2137821
Africa (FAO),,1977,1744575
Africa (FAO),,1978,1815237
Africa (FAO),,1979,2001169
Africa (FAO),,1980,2176023
Africa (FAO),,1981,2139372
Africa (FAO),,1982,2032519
Africa (FAO),,1983,2249717
Africa (FAO),,1984,2380536
Africa (FAO),,1985,2436783
Africa (FAO),,1986,2430181
Africa (FAO),,1987,2394234
Africa (FAO),,1988,2480180
Africa (FAO),,1989,2556721
Africa (FAO),,1990,2542067
Africa (FAO),,1991,2562977
Africa (FAO),,1992,2751583
Africa (FAO),,1993,2588361.5
Africa (FAO),,1994,2581183
Africa (FAO),,1995,2596825.8
Africa (FAO),,1996,2902122.2
Africa (FAO),,1997,2943472.2
Africa (FAO),,1998,2878183.5
Africa (FAO),,1999,3282748
Africa (FAO),,2000,3213683.2
Africa (FAO),,2001,3048195.5
Africa (FAO),,2002,3292715.2
Africa (FAO),,2003,3660615.2
Africa (FAO),,2004,3838935
Africa (FAO),,2005,3942596
Africa (FAO),,2006,4163112.8
Africa (FAO),,2007,4040908.8
Africa (FAO),,2008,4289937.5
Africa (FAO),,2009,4163947.8
Africa (FAO),,2010,4222251
Africa (FAO),,2011,4016820
Africa (FAO),,2012,4334848.5
Africa (FAO),,2013,4544380.5
Africa (FAO),,2014,4645079.5
Africa (FAO),,2015,4919260
Africa (FAO),,2016,4816725
Africa (FAO),,2017,4953595.5
Africa (FAO),,2018,4743349.5
Africa (FAO),,2019,4734618
Africa (FAO),,2020,4394204
Africa (FAO),,2021,4770328
Africa (FAO),,2022,5067552
Africa (FAO),,2023,5096207
Albania,ALB,1961,43412
Albania,ALB,1962,48800
Albania,ALB,1963,20160
Albania,ALB,1964,38678
Albania,ALB,1965,42900
Albania,ALB,1966,54100
Albania,ALB,1967,48500
Albania,ALB,1968,57800
Albania,ALB,1969,59700
Albania,ALB,1970,65000
Albania,ALB,1971,52000
Albania,ALB,1972,57000
Albania,ALB,1973,61000
Albania,ALB,1974,62000
Albania,ALB,1975,64000
Albania,ALB,1976,67000
Albania,ALB,1977,64000
Albania,ALB,1978,72000
Albania,ALB,1979,66000
Albania,ALB,1980,68000
Albania,ALB,1981,70300
Albania,ALB,1982,79900
Albania,ALB,1983,82000
Albania,ALB,1984,70000
Albania,ALB,1985,80400
Albania,ALB,1986,63700
Albania,ALB,1987,77500
Albania,ALB,1988,75200
Albania,ALB,1989,79800
Albania,ALB,1990,90700
Albania,ALB,1991,57700
Albania,ALB,1992,37800
Albania,ALB,1993,40400
Albania,ALB,1994,44000
Albania,ALB,1995,55493
Albania,ALB,1996,59115
Albania,ALB,1997,67466
Albania,ALB,1998,68327
Albania,ALB,1999,70400
Albania,ALB,2000,79300
Albania,ALB,2001,85100
Albania,ALB,2002,83100
Albania,ALB,2003,105500
Albania,ALB,2004,97100
Albania,ALB,2005,115100
Albania,ALB,2006,127800
Albania,ALB,2007,146500
Albania,ALB,2008,153900
Albania,ALB,2009,162800
Albania,ALB,2010,184900
Albania,ALB,2011,195200
Albania,ALB,2012,196800
Albania,ALB,2013,204000
Albania,ALB,2014,203700
Albania,ALB,2015,205000.02
Albania,ALB,2016,205001
Albania,ALB,2017,202948
Albania,ALB,2018,184832
Albania,ALB,2019,189904
Albania,ALB,2020,199069
Albania,ALB,2021,212011
Albania,ALB,2022,217883
Albania,ALB,2023,179705.3
Algeria,DZA,1961,1845000
Algeria,DZA,1962,1668000
Algeria,DZA,1963,1696000
Algeria,DZA,1964,1416000
Algeria,DZA,1965,1902000
Algeria,DZA,1966,931300
Algeria,DZA,1967,889000
Algeria,DZA,1968,1399000
Algeria,DZA,1969,1237000
Algeria,DZA,1970,1275000
Algeria,DZA,1971,1295000
Algeria,DZA,1972,761000
Algeria,DZA,1973,794000
Algeria,DZA,1974,837000
Algeria,DZA,1975,587000
Algeria,DZA,1976,518000
Algeria,DZA,1977,370000
Algeria,DZA,1978,263000
Algeria,DZA,1979,386000
Algeria,DZA,1980,407000
Algeria,DZA,1981,400000
Algeria,DZA,1982,255000
Algeria,DZA,1983,315000
Algeria,DZA,1984,415000
Algeria,DZA,1985,469000
Algeria,DZA,1986,465000
Algeria,DZA,1987,282000
Algeria,DZA,1988,301000
Algeria,DZA,1989,270426
Algeria,DZA,1990,262794
Algeria,DZA,1991,251370
Algeria,DZA,1992,229073
Algeria,DZA,1993,212652
Algeria,DZA,1994,141294
Algeria,DZA,1995,196351
Algeria,DZA,1996,195400
Algeria,DZA,1997,192190
Algeria,DZA,1998,146670
Algeria,DZA,1999,177905
Algeria,DZA,2000,203617
Algeria,DZA,2001,196159
Algeria,DZA,2002,234397
Algeria,DZA,2003,277968
Algeria,DZA,2004,283900
Algeria,DZA,2005,334021
Algeria,DZA,2006,398018
Algeria,DZA,2007,244999
Algeria,DZA,2008,401992
Algeria,DZA,2009,492525
Algeria,DZA,2010,560562
Algeria,DZA,2011,402592
Algeria,DZA,2012,543169
Algeria,DZA,2013,570840
Algeria,DZA,2014,518035
Algeria,DZA,2015,568069
Algeria,DZA,2016,571351
Algeria,DZA,2017,566579
Algeria,DZA,2018,502978.47
Algeria,DZA,2019,549833
Algeria,DZA,2020,554201.1
Algeria,DZA,2021,630022
Algeria,DZA,2022,619317.7
Algeria,DZA,2023,619740.2
Americas (FAO),,1961,6735895
Americas (FAO),,1962,7085165
Americas (FAO),,1963,7773972
Americas (FAO),,1964,7299035
Americas (FAO),,1965,7842305
Americas (FAO),,1966,7932147
Americas (FAO),,1967,8158871
Americas (FAO),,1968,7666102
Americas (FAO),,1969,7472812
Americas (FAO),,1970,7223536
Americas (FAO),,1971,8412680
Americas (FAO),,1972,7032135
Americas (FAO),,1973,8392620
Americas (FAO),,1974,9270411
Americas (FAO),,1975,9001906
Americas (FAO),,1976,9836541
Americas (FAO),,1977,9482378
Americas (FAO),,1978,9271437
Americas (FAO),,1979,10446957
Americas (FAO),,1980,10387769
Americas (FAO),,1981,9675360
Americas (FAO),,1982,12282535
Americas (FAO),,1983,10997903
Americas (FAO),,1984,9720894
Americas (FAO),,1985,9972548
Americas (FAO),,1986,9789787
Americas (FAO),,1987,10845337
Americas (FAO),,1988,11323180
Americas (FAO),,1989,10896932
Americas (FAO),,1990,10197247
Americas (FAO),,1991,9777753
Americas (FAO),,1992,10359412
Americas (FAO),,1993,10259559
Americas (FAO),,1994,10902127
Americas (FAO),,1995,11388521
Americas (FAO),,1996,10148303
Americas (FAO),,1997,12487610
Americas (FAO),,1998,10523702
Americas (FAO),,1999,11492859
Americas (FAO),,2000,13124698
Americas (FAO),,2001,12149776
Americas (FAO),,2002,12601457
Americas (FAO),,2003,12151182
Americas (FAO),,2004,12293090
Americas (FAO),,2005,14174162
Americas (FAO),,2006,12958212
Americas (FAO),,2007,14104504
Americas (FAO),,2008,14134067
Americas (FAO),,2009,13584750
Americas (FAO),,2010,14280724
Americas (FAO),,2011,14697723
Americas (FAO),,2012,14595794
Americas (FAO),,2013,16206086
Americas (FAO),,2014,14896760
Americas (FAO),,2015,14968015
Americas (FAO),,2016,13682371
Americas (FAO),,2017,14181881
Americas (FAO),,2018,15316775
Americas (FAO),,2019,14509842
Americas (FAO),,2020,12906984
Americas (FAO),,2021,13367197
Americas (FAO),,2022,12962883
Americas (FAO),,2023,12709689
Argentina,ARG,1961,2174000
Argentina,ARG,1962,2460000
Argentina,ARG,1963,2678000
Argentina,ARG,1964,2544000
Argentina,ARG,1965,2342000
Argentina,ARG,1966,2777000
Argentina,ARG,1967,3624000
Argentina,ARG,1968,2590000
Argentina,ARG,1969,2354000
Argentina,ARG,1970,2668000
Argentina,ARG,1971,2886000
Argentina,ARG,1972,2600000
Argentina,ARG,1973,2610000
Argentina,ARG,1974,3528000
Argentina,ARG,1975,3100000
Argentina,ARG,1976,3760000
Argentina,ARG,1977,3400000
Argentina,ARG,1978,2800000
Argentina,ARG,1979,3452505
Argentina,ARG,1980,3086772
Argentina,ARG,1981,2929914
Argentina,ARG,1982,3571000
Argentina,ARG,1983,3504470
Argentina,ARG,1984,2638509
Argentina,ARG,1985,2252870
Argentina,ARG,1986,2563235
Argentina,ARG,1987,3693546
Argentina,ARG,1988,3191750
Argentina,ARG,1989,2970586
Argentina,ARG,1990,2342350
Argentina,ARG,1991,2081620
Argentina,ARG,1992,2126620
Argentina,ARG,1993,1940981
Argentina,ARG,1994,2497360
Argentina,ARG,1995,2854814
Argentina,ARG,1996,2039893
Argentina,ARG,1997,2481910
Argentina,ARG,1998,2001673
Argentina,ARG,1999,2441660
Argentina,ARG,2000,2459860
Argentina,ARG,2001,2481530
Argentina,ARG,2002,2281190
Argentina,ARG,2003,2339460
Argentina,ARG,2004,2650972
Argentina,ARG,2005,2829711
Argentina,ARG,2006,2880927
Argentina,ARG,2007,3092509
Argentina,ARG,2008,2821696
Argentina,ARG,2009,2181567.2
Argentina,ARG,2010,2619660.5
Argentina,ARG,2011,2890296.2
Argentina,ARG,2012,2244219.8
Argentina,ARG,2013,2871749
Argentina,ARG,2014,2635109
Argentina,ARG,2015,2415571
Argentina,ARG,2016,1758418
Argentina,ARG,2017,1965205.5
Argentina,ARG,2018,2573311.5
Argentina,ARG,2019,2519886.2
Argentina,ARG,2020,2055746
Argentina,ARG,2021,2241419.8
Argentina,ARG,2022,1936803
Argentina,ARG,2023,1455312
Armenia,ARM,1992,142105
Armenia,ARM,1993,134900
Armenia,ARM,1994,212400
Armenia,ARM,1995,154900
Armenia,ARM,1996,158200
Armenia,ARM,1997,107719
Armenia,ARM,1998,105900
Armenia,ARM,1999,114754
Armenia,ARM,2000,115841
Armenia,ARM,2001,116500
Armenia,ARM,2002,103962
Armenia,ARM,2003,81600
Armenia,ARM,2004,148892
Armenia,ARM,2005,164353
Armenia,ARM,2006,201371
Armenia,ARM,2007,218883
Armenia,ARM,2008,185832
Armenia,ARM,2009,208649
Armenia,ARM,2010,222905
Armenia,ARM,2011,229589
Armenia,ARM,2012,241429
Armenia,ARM,2013,240816
Armenia,ARM,2014,261325
Armenia,ARM,2015,309181
Armenia,ARM,2016,178752
Armenia,ARM,2017,209954
Armenia,ARM,2018,179668
Armenia,ARM,2019,217524
Armenia,ARM,2020,283224.1
Armenia,ARM,2021,237058.8
Armenia,ARM,2022,225815.8
Armenia,ARM,2023,213425.5
Asia,,1961,4735586
Asia,,1962,4995633
Asia,,1963,4197628
Asia,,1964,4537423
Asia,,1965,5137379
Asia,,1966,4959983
Asia,,1967,5509754
Asia,,1968,5680411
Asia,,1969,5689449
Asia,,1970,5868267
Asia,,1971,5901284
Asia,,1972,5775954
Asia,,1973,5759100
Asia,,1974,6001929
Asia,,1975,6006092
Asia,,1976,5991702
Asia,,1977,6189634
Asia,,1978,6691235
Asia,,1979,6596226
Asia,,1980,6803427
Asia,,1981,7373606
Asia,,1982,7539218
Asia,,1983,7376998
Asia,,1984,7523314
Asia,,1985,7819207
Asia,,1986,7623352
Asia,,1987,8054408
Asia,,1988,8816380
Asia,,1989,8376755
Asia,,1990,8610953
Asia,,1991,9065311
Asia,,1992,11142870
Asia,,1993,11610783
Asia,,1994,11442738
Asia,,1995,12322739
Asia,,1996,12526958
Asia,,1997,12555089
Asia,,1998,12892224
Asia,,1999,13007748
Asia,,2000,14022381
Asia,,2001,14345118
Asia,,2002,15497396
Asia,,2003,16331284
Asia,,2004,17010476
Asia,,2005,17995670
Asia,,2006,18575452
Asia,,2007,19219334
Asia,,2008,18437050
Asia,,2009,20061506
Asia,,2010,19787294
Asia,,2011,20898428
Asia,,2012,23579798
Asia,,2013,24991570
Asia,,2014,25671294
Asia,,2015,26862036
Asia,,2016,26089346
Asia,,2017,27082634
Asia,,2018,27647842
Asia,,2019,29133758
Asia,,2020,29300182
Asia,,2021,29454262
Asia,,2022,30077032
Asia,,2023,27788886
Asia (FAO),,1961,4866396
Asia (FAO),,1962,5122633
Asia (FAO),,1963,4260628
Asia (FAO),,1964,4632673
Asia (FAO),,1965,5264379
Asia (FAO),,1966,5102223
Asia (FAO),,1967,5657074
Asia (FAO),,1968,5849067
Asia (FAO),,1969,5892649
Asia (FAO),,1970,6051147
Asia (FAO),,1971,6086196
Asia (FAO),,1972,5943594
Asia (FAO),,1973,5855620
Asia (FAO),,1974,6149249
Asia (FAO),,1975,6178812
Asia (FAO),,1976,6159342
Asia (FAO),,1977,6345082
Asia (FAO),,1978,6874115
Asia (FAO),,1979,6799426
Asia (FAO),,1980,7011707
Asia (FAO),,1981,7586966
Asia (FAO),,1982,7740386
Asia (FAO),,1983,7586998
Asia (FAO),,1984,7721814
Asia (FAO),,1985,8029207
Asia (FAO),,1986,7774352
Asia (FAO),,1987,8227408
Asia (FAO),,1988,9014380
Asia (FAO),,1989,8588755
Asia (FAO),,1990,8766953
Asia (FAO),,1991,9155311
Asia (FAO),,1992,11264870
Asia (FAO),,1993,11746283
Asia (FAO),,1994,11534738
Asia (FAO),,1995,12442139
Asia (FAO),,1996,12640958
Asia (FAO),,1997,12656089
Asia (FAO),,1998,13016224
Asia (FAO),,1999,13113048
Asia (FAO),,2000,14130399
Asia (FAO),,2001,14433191
Asia (FAO),,2002,15559796
Asia (FAO),,2003,16411644
Asia (FAO),,2004,17118990
Asia (FAO),,2005,18046656
Asia (FAO),,2006,18615432
Asia (FAO),,2007,19253226
Asia (FAO),,2008,18469430
Asia (FAO),,2009,20091194
Asia (FAO),,2010,19815592
Asia (FAO),,2011,20923492
Asia (FAO),,2012,23600330
Asia (FAO),,2013,25011896
Asia (FAO),,2014,25691420
Asia (FAO),,2015,26883722
Asia (FAO),,2016,26106930
Asia (FAO),,2017,27105456
Asia (FAO),,2018,27670222
Asia (FAO),,2019,29156518
Asia (FAO),,2020,29323322
Asia (FAO),,2021,29477392
Asia (FAO),,2022,30102072
Asia (FAO),,2023,27810416
Australia,AUS,1961,534975
Australia,AUS,1962,637978
Australia,AUS,1963,478990
Australia,AUS,1964,665300
Australia,AUS,1965,690531
Australia,AUS,1966,591459
Australia,AUS,1967,694748
Australia,AUS,1968,638611
Australia,AUS,1969,553411
Australia,AUS,1970,757668
Australia,AUS,1971,548000
Australia,AUS,1972,826956
Australia,AUS,1973,603200
Australia,AUS,1974,552200
Australia,AUS,1975,727800
Australia,AUS,1976,711900
Australia,AUS,1977,728384
Australia,AUS,1978,693600
Australia,AUS,1979,716400
Australia,AUS,1980,865300
Australia,AUS,1981,743400
Australia,AUS,1982,884922
Australia,AUS,1983,768067
Australia,AUS,1984,840866
Australia,AUS,1985,889638
Australia,AUS,1986,907847
Australia,AUS,1987,783000
Australia,AUS,1988,798814
Australia,AUS,1989,859165
Australia,AUS,1990,824261
Australia,AUS,1991,851141
Australia,AUS,1992,987142
Australia,AUS,1993,791217
Australia,AUS,1994,919608
Australia,AUS,1995,768827
Australia,AUS,1996,1086509
Australia,AUS,1997,943113
Australia,AUS,1998,1112170
Australia,AUS,1999,1265536
Australia,AUS,2000,1311382
Australia,AUS,2001,1546002
Australia,AUS,2002,1753888
Australia,AUS,2003,1496939
Australia,AUS,2004,2014965
Australia,AUS,2005,2026500
Australia,AUS,2006,1981198
Australia,AUS,2007,1530439
Australia,AUS,2008,1778510
Australia,AUS,2009,1856100
Australia,AUS,2010,1684345
Australia,AUS,2011,1757700
Australia,AUS,2012,1656621
Australia,AUS,2013,1762572
Australia,AUS,2014,1557362
Australia,AUS,2015,1728759
Australia,AUS,2016,1772911
Australia,AUS,2017,1824431.5
Australia,AUS,2018,1663557
Australia,AUS,2019,1553602
Australia,AUS,2020,1474911.2
Australia,AUS,2021,1885536.5
Australia,AUS,2022,1450000
Australia,AUS,2023,1550060
Austria,AUT,1961,171000
Austria,AUT,1962,129000
Austria,AUT,1963,234000
Austria,AUT,1964,403404
Austria,AUT,1965,197107
Austria,AUT,1966,206510
Austria,AUT,1967,368502
Austria,AUT,1968,352008
Austria,AUT,1969,321900
Austria,AUT,1970,439950
Austria,AUT,1971,250000
Austria,AUT,1972,369000
Austria,AUT,1973,341912
Austria,AUT,1974,236719
Austria,AUT,1975,384943
Austria,AUT,1976,413048
Austria,AUT,1977,369348
Austria,AUT,1978,479000
Austria,AUT,1979,395000
Austria,AUT,1980,439000
Austria,AUT,1981,350000
Austria,AUT,1982,700000
Austria,AUT,1983,528000
Austria,AUT,1984,360000
Austria,AUT,1985,170000
Austria,AUT,1986,320000
Austria,AUT,1987,310000
Austria,AUT,1988,472800
Austria,AUT,1989,348400
Austria,AUT,1990,411600
Austria,AUT,1991,412434.53
Austria,AUT,1992,345095.34
Austria,AUT,1993,248730.53
Austria,AUT,1994,352884.66
Austria,AUT,1995,297195.88
Austria,AUT,1996,281377.6
Austria,AUT,1997,240232.94
Austria,AUT,1998,360422.66
Austria,AUT,1999,373784.4
Austria,AUT,2000,311788
Austria,AUT,2001,337410.12
Austria,AUT,2002,346597.72
Austria,AUT,2003,337313
Austria,AUT,2004,364608
Austria,AUT,2005,301869
Austria,AUT,2006,300840
Austria,AUT,2007,350403
Austria,AUT,2008,399163
Austria,AUT,2009,313583
Austria,AUT,2010,231660
Austria,AUT,2011,375301
Austria,AUT,2012,287301
Austria,AUT,2013,318926.44
Austria,AUT,2014,266491.34
Austria,AUT,2015,302453.66
Austria,AUT,2016,260337.42
Austria,AUT,2017,331428
Austria,AUT,2018,367130
Austria,AUT,2019,309920
Austria,AUT,2020,319790
Austria,AUT,2021,328040
Austria,AUT,2022,336990
Austria,AUT,2023,310760
Azerbaijan,AZE,1992,607000
Azerbaijan,AZE,1993,411300
Azerbaijan,AZE,1994,313800
Azerbaijan,AZE,1995,308700
Azerbaijan,AZE,1996,274982
Azerbaijan,AZE,1997,145333
Azerbaijan,AZE,1998,144223
Azerbaijan,AZE,1999,112543
Azerbaijan,AZE,2000,76936
Azerbaijan,AZE,2001,68096
Azerbaijan,AZE,2002,62125
Azerbaijan,AZE,2003,65009
Azerbaijan,AZE,2004,54900
Azerbaijan,AZE,2005,79655
Azerbaijan,AZE,2006,94142
Azerbaijan,AZE,2007,103363
Azerbaijan,AZE,2008,115822
Azerbaijan,AZE,2009,129159
Azerbaijan,AZE,2010,129536
Azerbaijan,AZE,2011,137038
Azerbaijan,AZE,2012,150987
Azerbaijan,AZE,2013,148535
Azerbaijan,AZE,2014,147701
Azerbaijan,AZE,2015,157076
Azerbaijan,AZE,2016,136499
Azerbaijan,AZE,2017,152843
Azerbaijan,AZE,2018,167591.4
Azerbaijan,AZE,2019,201842.4
Azerbaijan,AZE,2020,208019.1
Azerbaijan,AZE,2021,209843.2
Azerbaijan,AZE,2022,212645.1
Azerbaijan,AZE,2023,224517.1
Bahrain,BHR,1961,80
Bahrain,BHR,1962,80
Bahrain,BHR,1963,100
Bahrain,BHR,1964,100
Bahrain,BHR,1965,100
Bahrain,BHR,1966,40
Bahrain,BHR,1967,40
Bahrain,BHR,1968,40
Bahrain,BHR,1969,50
Bahrain,BHR,1970,50
Bahrain,BHR,1971,60
Bahrain,BHR,1972,60
Bahrain,BHR,1973,60
Bahrain,BHR,1974,70
Bahrain,BHR,1975,70
Bahrain,BHR,1976,70
Bahrain,BHR,1977,79
Bahrain,BHR,1978,90
Bahrain,BHR,1979,100
Bahrain,BHR,1980,100
Bahrain,BHR,1981,100
Bahrain,BHR,1982,100
Bahrain,BHR,1983,100
Bahrain,BHR,1984,100
Bahrain,BHR,1985,100
Bahrain,BHR,1986,102
Bahrain,BHR,1987,105
Bahrain,BHR,1988,110
Bahrain,BHR,1989,115
Bahrain,BHR,1990,118
Bahrain,BHR,1991,120
Bahrain,BHR,1992,125
Bahrain,BHR,1993,128
Bahrain,BHR,1994,130
Bahrain,BHR,1995,129.84
Bahrain,BHR,1996,130.2
Bahrain,BHR,1997,130.51
Bahrain,BHR,1998,130.47
Bahrain,BHR,1999,130
Bahrain,BHR,2000,132.72
Bahrain,BHR,2001,134.21
Bahrain,BHR,2002,135.68
Bahrain,BHR,2003,137.1
Bahrain,BHR,2004,138.48
Bahrain,BHR,2005,139.87
Bahrain,BHR,2006,141.56
Bahrain,BHR,2007,143.13
Bahrain,BHR,2008,143.32
Bahrain,BHR,2009,143.81
Bahrain,BHR,2010,144.28
Bahrain,BHR,2011,144.74
Bahrain,BHR,2012,145
Bahrain,BHR,2013,146.14
Bahrain,BHR,2014,147.34
Bahrain,BHR,2015,148.97
Bahrain,BHR,2016,150.6
Bahrain,BHR,2017,152.14
Bahrain,BHR,2018,150
Bahrain,BHR,2019,152
Bahrain,BHR,2020,153
Bahrain,BHR,2021,0
Bahrain,BHR,2022,0
Bahrain,BHR,2023,0
Belarus,BLR,2006,4500
Belarus,BLR,2007,8000
Belarus,BLR,2008,14000
Belarus,BLR,2009,8000
Belarus,BLR,2010,11000
Belarus,BLR,2011,14500
Belarus,BLR,2012,14000
Belarus,BLR,2013,15000
Belarus,BLR,2014,17500
Belarus,BLR,2015,25500
Belarus,BLR,2016,23000
Belarus,BLR,2017,22000
Belarus,BLR,2018,33000
Belarus,BLR,2019,31000
Belarus,BLR,2020,33775.86
Belarus,BLR,2021,36247.26
Belarus,BLR,2022,35130.61
Belarus,BLR,2023,36865.93
Belgium,BEL,2000,800
Belgium,BEL,2001,400
Belgium,BEL,2002,400
Belgium,BEL,2003,450
Belgium,BEL,2004,500
Belgium,BEL,2005,509.24
Belgium,BEL,2006,550
Belgium,BEL,2007,100
Belgium,BEL,2008,90
Belgium,BEL,2009,100
Belgium,BEL,2010,254.88
Belgium,BEL,2011,653.8
Belgium,BEL,2012,932.22
Belgium,BEL,2013,1196.82
Belgium,BEL,2014,1509.51
Belgium,BEL,2015,1738.62
Belgium,BEL,2016,2239.81
Belgium,BEL,2017,2388.52
Belgium-Luxembourg (FAO),,1961,27500
Belgium-Luxembourg (FAO),,1962,30000
Belgium-Luxembourg (FAO),,1963,30200
Belgium-Luxembourg (FAO),,1964,32700
Belgium-Luxembourg (FAO),,1965,27000
Belgium-Luxembourg (FAO),,1966,29000
Belgium-Luxembourg (FAO),,1967,28200
Belgium-Luxembourg (FAO),,1968,26500
Belgium-Luxembourg (FAO),,1969,27500
Belgium-Luxembourg (FAO),,1970,43000
Belgium-Luxembourg (FAO),,1971,24500
Belgium-Luxembourg (FAO),,1972,30100
Belgium-Luxembourg (FAO),,1973,34500
Belgium-Luxembourg (FAO),,1974,27500
Belgium-Luxembourg (FAO),,1975,29000
Belgium-Luxembourg (FAO),,1976,25150
Belgium-Luxembourg (FAO),,1977,26410
Belgium-Luxembourg (FAO),,1978,16450
Belgium-Luxembourg (FAO),,1979,14100
Belgium-Luxembourg (FAO),,1980,11460
Belgium-Luxembourg (FAO),,1981,17280
Belgium-Luxembourg (FAO),,1982,37600
Belgium-Luxembourg (FAO),,1983,28000
Belgium-Luxembourg (FAO),,1984,27530
Belgium-Luxembourg (FAO),,1985,16760
Belgium-Luxembourg (FAO),,1986,25100
Belgium-Luxembourg (FAO),,1987,20800
Belgium-Luxembourg (FAO),,1988,24965
Belgium-Luxembourg (FAO),,1989,31326
Belgium-Luxembourg (FAO),,1990,21717
Belgium-Luxembourg (FAO),,1991,13492
Belgium-Luxembourg (FAO),,1992,35260
Belgium-Luxembourg (FAO),,1993,22400
Belgium-Luxembourg (FAO),,1994,23430
Belgium-Luxembourg (FAO),,1995,19980
Belgium-Luxembourg (FAO),,1996,17388
Belgium-Luxembourg (FAO),,1997,10072
Belgium-Luxembourg (FAO),,1998,21268
Belgium-Luxembourg (FAO),,1999,24854
Bolivia,BOL,1961,9000
Bolivia,BOL,1962,9000
Bolivia,BOL,1963,10000
Bolivia,BOL,1964,10000
